QUR,AZE,R200000000AZE1111111
OKV,ERI,E300000000ERI1111111
SOD,PYF,K200000000PYF1111111
TLQ,NLD,H100000000NLD1111111
JRJ,BWA,C300000000BWA1111111
ZQG,GNB,G400000000GNB1111111
LRU,HND,N200000000HND1111111
YYB,TCD,L000000000TCD1111111
TNG,GBR,B100000000GBR1111111
GZO,ESP,L200000000ESP1111111
GCF,CZE,K000000000CZE1111111
BUD,GMB,P200000000GMB1111111
GMT,MOZ,T200000000MOZ1111111
JRI,CAF,N100000000CAF1111111
ALG,GRC,H100000000GRC1111111
UNZ,BFA,S300000000BFA1111111
KTI,GLP,K400000000GLP1111111
DWG,ROU,I300000000ROU1111111
VKR,ATF,O400000000ATF1111111
RPN,COK,C000000000COK1111111
CYL,ERI,B100000000ERI1111111
IFW,GNB,S100000000GNB1111111
ZNZ,MAF,B000000000MAF1111111
ZPS,VAT,N000000000VAT1111111
RFT,DNK,C100000000DNK1111111
DOH,POL,F000000000POL1111111
VEE,CMR,N300000000CMR1111111
RCV,MEX,H200000000MEX1111111
TVK,DMA,T000000000DMA1111111
AMC,ARM,I200000000ARM1111111
ZVY,MSR,R100000000MSR1111111
XJK,DMA,D200000000DMA1111111
HZE,WLF,F300000000WLF1111111
NEC,MLT,T400000000MLT1111111
WKN,KAZ,M300000000KAZ1111111
BGO,SWZ,K300000000SWZ1111111
VFE,BHS,D200000000BHS1111111
PCA,BGD,F200000000BGD1111111
BKV,COG,S300000000COG1111111
NHJ,ALB,L000000000ALB1111111
HYR,TLS,S000000000TLS1111111
IBQ,LVA,J200000000LVA1111111
BMH,GHA,F400000000GHA1111111
CLJ,YEM,L200000000YEM1111111
VNT,FRA,P000000000FRA1111111
EXP,JPN,E000000000JPN1111111
WXC,MLT,E200000000MLT1111111
YFB,LCA,N100000000LCA1111111
FAF,IOT,P300000000IOT1111111
XUY,SYR,S200000000SYR1111111
DNC,COD,B400000000COD1111111
BKN,GIN,S400000000GIN1111111
UNT,LBN,F400000000LBN1111111
DLH,MNE,R400000000MNE1111111
SAK,VUT,Q300000000VUT1111111
IFK,MTQ,F200000000MTQ1111111
NVE,PNG,E400000000PNG1111111
AHU,HND,H100000000HND1111111
QUK,ECU,L200000000ECU1111111
DWX,BTN,K200000000BTN1111111
MQM,HUN,M400000000HUN1111111
UVS,GHA,O400000000GHA1111111
SMY,ALA,P100000000ALA1111111
OFN,BFA,B400000000BFA1111111
VRG,ZWE,S100000000ZWE1111111
LCH,LBR,E300000000LBR1111111
RPH,TZA,L300000000TZA1111111
MKH,MNP,Q000000000MNP1111111
IYE,MCO,F400000000MCO1111111
SBO,ZAF,O300000000ZAF1111111
NVW,CIV,H400000000CIV1111111
GKH,PYF,M400000000PYF1111111
KFL,GRL,J000000000GRL1111111
TJI,GAB,I400000000GAB1111111
GXX,JOR,T200000000JOR1111111
GWW,SWE,T300000000SWE1111111
RPM,NER,I200000000NER1111111
DGF,DEU,S000000000DEU1111111
VJG,MYT,D300000000MYT1111111
SZK,JOR,P300000000JOR1111111
CNN,ATA,B400000000ATA1111111
HKJ,BTN,F300000000BTN1111111
BFS,PYF,G100000000PYF1111111
AWJ,ABW,O200000000ABW1111111
VIT,MKD,Q100000000MKD1111111
WZR,ZWE,N200000000ZWE1111111
QPJ,BTN,P300000000BTN1111111
PME,BGD,O400000000BGD1111111
FSQ,ARG,R400000000ARG1111111
HSX,GEO,F200000000GEO1111111
BJP,ISL,T000000000ISL1111111
TGM,DJI,E300000000DJI1111111
HWE,TZA,G300000000TZA1111111
LVJ,NAM,A100000000NAM1111111
TAW,PRT,J200000000PRT1111111
LEN,ATA,A400000000ATA1111111
MSU,MYT,N000000000MYT1111111
AKD,SLV,M200000000SLV1111111
TNH,TZA,F300000000TZA1111111
CJX,VEN,R200000000VEN1111111
TVL,CXR,T200000000CXR1111111
UCK,CHE,M400000000CHE1111111
IMV,LBR,G100000000LBR1111111
OEE,TKM,S200000000TKM1111111
KWJ,TKL,L200000000TKL1111111
OXV,SWZ,M000000000SWZ1111111
RBA,ISR,G100000000ISR1111111
ZSG,AFG,Q400000000AFG1111111
WQP,ASM,Q000000000ASM1111111
GZG,GEO,N300000000GEO1111111
ZQB,MNP,J200000000MNP1111111
YDJ,NIC,P200000000NIC1111111
CAE,IRQ,K300000000IRQ1111111
QWK,SWZ,J100000000SWZ1111111
MWU,BEN,R000000000BEN1111111
CRV,GGY,L000000000GGY1111111
XLW,TUN,N400000000TUN1111111
LKC,ZAF,T100000000ZAF1111111
DQR,LTU,J200000000LTU1111111
UGO,COL,E200000000COL1111111
NOZ,MYT,I100000000MYT1111111
XBU,GEO,G000000000GEO1111111
UKK,CUB,F200000000CUB1111111
UWP,PSE,P200000000PSE1111111
HYV,MAC,J300000000MAC1111111
ACI,CAN,K200000000CAN1111111
KVO,PAK,G100000000PAK1111111
BNB,GNB,O000000000GNB1111111
NNL,PAN,K000000000PAN1111111
YXA,LUX,Q300000000LUX1111111
APO,BIH,S300000000BIH1111111
IJW,BRB,T000000000BRB1111111
KEJ,CHN,D100000000CHN1111111
KFF,SEN,L200000000SEN1111111
YRP,MAR,K400000000MAR1111111
RAB,GIN,A000000000GIN1111111
ASB,MDG,A000000000MDG1111111
KRX,SLB,K000000000SLB1111111
UJP,BTN,D400000000BTN1111111
CTT,ESH,K400000000ESH1111111
XCX,BTN,T000000000BTN1111111
KSW,UMI,F300000000UMI1111111
OSW,GHA,G100000000GHA1111111
MOW,TUN,K000000000TUN1111111
JNL,VNM,B400000000VNM1111111
RIN,GMB,H000000000GMB1111111
QCC,NIU,L400000000NIU1111111
RVT,YEM,L100000000YEM1111111
HID,GAB,B300000000GAB1111111
UWG,MEX,P100000000MEX1111111
UDK,LBY,T400000000LBY1111111
PNH,BRB,O200000000BRB1111111
NBB,WLF,C400000000WLF1111111
LGM,MDA,B300000000MDA1111111
QWK,TCA,L000000000TCA1111111
OUO,COM,K200000000COM1111111
LTF,DNK,S300000000DNK1111111
MWR,NZL,T000000000NZL1111111
WUL,VIR,G000000000VIR1111111
KHW,PRY,D300000000PRY1111111
LGF,ALB,P000000000ALB1111111
XRP,TCD,G100000000TCD1111111
FEW,SOM,D200000000SOM1111111
DSJ,BMU,N000000000BMU1111111
TNU,MKD,M200000000MKD1111111
ZJS,AND,L000000000AND1111111
XIU,BOL,Q200000000BOL1111111
NHL,MOZ,J300000000MOZ1111111
CUM,NGA,S000000000NGA1111111
TGU,PCN,T000000000PCN1111111
VHM,BRB,B200000000BRB1111111
SYC,ESP,Q400000000ESP1111111
ELE,BDI,S100000000BDI1111111
KSQ,LAO,G200000000LAO1111111
NSS,CIV,J400000000CIV1111111
PIX,FLK,H400000000FLK1111111
EQC,MDA,C400000000MDA1111111
VBU,NOR,G000000000NOR1111111
KED,ATA,M100000000ATA1111111
KCE,BLM,G300000000BLM1111111
XVM,CHE,L200000000CHE1111111
ZJW,LVA,I100000000LVA1111111
ECM,BLZ,H400000000BLZ1111111
CYV,HRV,M100000000HRV1111111
RIF,BRN,J200000000BRN1111111
ZBH,SYC,L200000000SYC1111111
SBY,ECU,N100000000ECU1111111
RYK,EGY,H200000000EGY1111111
VYD,TCA,J100000000TCA1111111
DQG,DJI,I300000000DJI1111111
XXM,SWZ,Q300000000SWZ1111111
HKH,HKG,T200000000HKG1111111
NPY,BLZ,K200000000BLZ1111111
PHO,HRV,I100000000HRV1111111
VXM,FLK,C100000000FLK1111111
MNH,VCT,N300000000VCT1111111
NGP,ZAF,L200000000ZAF1111111
BIY,MSR,N000000000MSR1111111
OML,GRC,A400000000GRC1111111
NYI,NIC,F400000000NIC1111111
GXM,MSR,E100000000MSR1111111
BUM,TUR,O300000000TUR1111111
DCT,CHL,C000000000CHL1111111
DAC,RWA,F400000000RWA1111111
OEC,GRC,T400000000GRC1111111
PDG,BHS,E100000000BHS1111111
WLL,GNB,G300000000GNB1111111
GGK,BEL,T200000000BEL1111111
ACD,SMR,H200000000SMR1111111
LPH,BRA,H000000000BRA1111111
UQC,LBY,C200000000LBY1111111
ENA,TCA,H000000000TCA1111111
FEY,IRN,A000000000IRN1111111
VXT,GUY,G300000000GUY1111111
AUF,ROU,F300000000ROU1111111
JZY,MTQ,R300000000MTQ1111111
TFU,WLF,L100000000WLF1111111
VRS,GEO,C100000000GEO1111111
INS,DEU,G100000000DEU1111111
KWA,MUS,F200000000MUS1111111
ZCI,LKA,G200000000LKA1111111
NBC,BHS,K300000000BHS1111111
BIU,YEM,A400000000YEM1111111
JCS,JAM,G400000000JAM1111111
OWX,MAR,O400000000MAR1111111
PSZ,NRU,L300000000NRU1111111
ZBG,FSM,T400000000FSM1111111
DYE,POL,S300000000POL1111111
QWW,NCL,N100000000NCL1111111
TER,BEL,M200000000BEL1111111
MVX,JEY,S100000000JEY1111111
DSU,PSE,G000000000PSE1111111
JXN,ETH,R100000000ETH1111111
WCT,CUW,Q200000000CUW1111111
FFK,LBR,L000000000LBR1111111
GIL,CHN,F300000000CHN1111111
QGZ,BEN,A100000000BEN1111111
NGU,HRV,Q000000000HRV1111111
EPL,NCL,M400000000NCL1111111
GXO,JPN,J100000000JPN1111111
PWW,LBR,J100000000LBR1111111
FCZ,LBY,Q100000000LBY1111111
LVE,DNK,J000000000DNK1111111
IEZ,SUR,F300000000SUR1111111
HTK,SSD,E100000000SSD1111111
EUJ,WLF,L300000000WLF1111111
JNW,VNM,P100000000VNM1111111
AZH,SGS,D300000000SGS1111111
ZWZ,VUT,T400000000VUT1111111
XZZ,SSD,R400000000SSD1111111
LQM,ALB,A100000000ALB1111111
WZB,TJK,Q300000000TJK1111111
CTD,LSO,J300000000LSO1111111
MEA,MLI,B200000000MLI1111111
UZS,BVT,E400000000BVT1111111
HTL,PRT,O000000000PRT1111111
TAX,GIN,P200000000GIN1111111
AOF,ZAF,K300000000ZAF1111111
XIE,IOT,M300000000IOT1111111
LEZ,KIR,R300000000KIR1111111
ROE,UKR,O200000000UKR1111111
LTU,ROU,L100000000ROU1111111
AJG,BRB,H400000000BRB1111111
EPK,TUV,H100000000TUV1111111
JRK,CPV,T000000000CPV1111111
FAR,HUN,P400000000HUN1111111
DSB,PYF,A200000000PYF1111111
KMZ,COK,T200000000COK1111111
VUK,MEX,I400000000MEX1111111
FFO,TCD,S200000000TCD1111111
AVE,FRO,Q000000000FRO1111111
DCX,JEY,A300000000JEY1111111
GGH,CXR,S000000000CXR1111111
CAC,KAZ,L400000000KAZ1111111
OLF,FJI,T100000000FJI1111111
PWZ,IOT,K100000000IOT1111111
AKF,BLM,M300000000BLM1111111
PMJ,BTN,K300000000BTN1111111
JEZ,SWE,Q100000000SWE1111111
TKK,BEN,O100000000BEN1111111
KJO,SMR,Q100000000SMR1111111
SXS,TZA,R000000000TZA1111111
VDI,KNA,G400000000KNA1111111
ICD,GMB,F400000000GMB1111111
SVL,BEL,N400000000BEL1111111
SOP,MDV,N000000000MDV1111111
TZJ,REU,S400000000REU1111111
YVJ,UMI,G400000000UMI1111111
OML,UKR,D000000000UKR1111111
CGK,GGY,T400000000GGY1111111
BGK,GUF,S400000000GUF1111111
LBS,SLV,I400000000SLV1111111
APO,UMI,B300000000UMI1111111
MRT,CPV,J000000000CPV1111111
TLX,SDN,A100000000SDN1111111
XUW,CAN,L300000000CAN1111111
JAP,CZE,O200000000CZE1111111
PWQ,TCA,M100000000TCA1111111
VVJ,MRT,A000000000MRT1111111
QJL,SRB,K400000000SRB1111111
ZOY,NRU,O100000000NRU1111111
RCI,STP,B100000000STP1111111
MRK,AGO,N200000000AGO1111111
ADM,YEM,T100000000YEM1111111
WFE,ZWE,Q400000000ZWE1111111
UIM,ITA,F300000000ITA1111111
SPY,ZAF,O100000000ZAF1111111
URC,MSR,F400000000MSR1111111
FRI,DZA,J200000000DZA1111111
YDD,GMB,R200000000GMB1111111
TUN,NAM,A000000000NAM1111111
LRW,TUV,S200000000TUV1111111
HVT,MEX,D300000000MEX1111111
XCV,ATA,N000000000ATA1111111
FYB,CAF,S100000000CAF1111111
CTU,SVN,Q400000000SVN1111111
JDZ,VCT,S400000000VCT1111111
ING,GRL,T000000000GRL1111111
NKH,GEO,O200000000GEO1111111
SUG,PCN,M000000000PCN1111111
CIA,PSE,D000000000PSE1111111
QOX,BGD,B300000000BGD1111111
YTG,SPM,O100000000SPM1111111
AEH,KIR,F000000000KIR1111111
PRW,EGY,A300000000EGY1111111
KYC,AND,P400000000AND1111111
CCP,BTN,Q000000000BTN1111111
RSV,AND,L100000000AND1111111
ZCT,TUR,H000000000TUR1111111
TGZ,GBR,A200000000GBR1111111
IZD,JEY,P100000000JEY1111111
FRA,CAF,R100000000CAF1111111
JXZ,PLW,M100000000PLW1111111
PXL,GUY,F300000000GUY1111111
KGA,SYC,G300000000SYC1111111
FWQ,JOR,O400000000JOR1111111
QQP,MTQ,J000000000MTQ1111111
WPG,AUS,F000000000AUS1111111
WJX,AIA,D100000000AIA1111111
QJX,CUB,G300000000CUB1111111
RPV,ERI,S000000000ERI1111111
QVO,GAB,H000000000GAB1111111
SYE,NIC,N000000000NIC1111111
HXQ,SLE,Q000000000SLE1111111
JQA,MDG,S100000000MDG1111111
ZXL,NGA,T200000000NGA1111111
OZO,GNQ,M100000000GNQ1111111
VBQ,IRN,B300000000IRN1111111
ZEA,MAC,C000000000MAC1111111
TZP,DJI,D000000000DJI1111111
RQK,DNK,N300000000DNK1111111
AYT,PRT,G300000000PRT1111111
RJJ,LIE,G400000000LIE1111111
YXW,GRL,L000000000GRL1111111
URM,AZE,D300000000AZE1111111
BMV,SHN,O000000000SHN1111111
AEU,PLW,M000000000PLW1111111
JHZ,KGZ,G200000000KGZ1111111
ZSL,KNA,C100000000KNA1111111
RMF,TWN,C200000000TWN1111111
SCN,NER,K000000000NER1111111
KZJ,COD,M000000000COD1111111
FDY,VUT,D300000000VUT1111111
MDR,NLD,S000000000NLD1111111
AGJ,QAT,H400000000QAT1111111
PDC,UGA,F400000000UGA1111111
YGE,CAF,C000000000CAF1111111
RPC,NER,S000000000NER1111111
KCW,FLK,B100000000FLK1111111
YAZ,DNK,R100000000DNK1111111
QKS,PRI,M200000000PRI1111111
BSC,GLP,Q200000000GLP1111111
PFZ,VCT,F200000000VCT1111111
NWP,TUV,P000000000TUV1111111
HIB,LSO,D300000000LSO1111111
MJA,FIN,T400000000FIN1111111
LOI,SLE,S000000000SLE1111111
SMF,ATG,N300000000ATG1111111
QZK,YEM,R200000000YEM1111111
KHZ,TZA,Q300000000TZA1111111
UDW,SGP,R200000000SGP1111111
PYR,BWA,I400000000BWA1111111
LEB,CPV,N300000000CPV1111111
XAM,ZMB,R400000000ZMB1111111
LXP,TUN,M200000000TUN1111111
ZWJ,MYT,I300000000MYT1111111
OAT,SLV,O400000000SLV1111111
KKY,CYP,S200000000CYP1111111
DMN,BWA,A000000000BWA1111111
DUM,NPL,N000000000NPL1111111
GEG,TKM,H200000000TKM1111111
RON,MOZ,I100000000MOZ1111111
WGX,FSM,O000000000FSM1111111
NJL,CAN,H100000000CAN1111111
FQN,BIH,L300000000BIH1111111
MBC,BWA,J400000000BWA1111111
FSM,MAR,G000000000MAR1111111
BBI,TUN,Q200000000TUN1111111
YMK,CZE,L300000000CZE1111111
UEJ,SYR,M200000000SYR1111111
UAJ,AFG,K000000000AFG1111111
CGP,CMR,H200000000CMR1111111
VBH,DNK,F000000000DNK1111111
HCB,CAN,R100000000CAN1111111
EHR,TJK,Q400000000TJK1111111
VTX,AZE,N200000000AZE1111111
HLR,MAR,F100000000MAR1111111
KVG,AFG,N200000000AFG1111111
UDU,BHS,M000000000BHS1111111
CSI,ABW,N100000000ABW1111111
LAS,CHN,T000000000CHN1111111
GDS,JPN,P100000000JPN1111111
HUX,GAB,T400000000GAB1111111
DKM,LVA,H000000000LVA1111111
VGB,NFK,I100000000NFK1111111
DSP,MKD,Q300000000MKD1111111
YTN,VGB,N400000000VGB1111111
RIA,BLM,C400000000BLM1111111
BWS,SGP,S400000000SGP1111111
QHR,GNQ,D000000000GNQ1111111
HBT,SSD,O000000000SSD1111111
XEE,CAF,J000000000CAF1111111
TZI,DMA,P000000000DMA1111111
GGB,ARG,D400000000ARG1111111
ZEO,LBN,K400000000LBN1111111
IOX,BTN,S200000000BTN1111111
QSY,GRL,Q200000000GRL1111111
OPP,JPN,E300000000JPN1111111
MRY,MTQ,Q200000000MTQ1111111
OLE,TUR,M100000000TUR1111111
TNI,NFK,L100000000NFK1111111
RUF,UKR,H400000000UKR1111111
GTI,BLZ,N400000000BLZ1111111
VKE,BFA,T100000000BFA1111111
HNU,NLD,D400000000NLD1111111
FRE,KOR,O000000000KOR1111111
MKG,POL,R100000000POL1111111
YNC,GUF,I000000000GUF1111111
MVO,HMD,I400000000HMD1111111
IIU,SLE,O300000000SLE1111111
ZSQ,NZL,J400000000NZL1111111
YUA,SLV,L200000000SLV1111111
GKZ,VUT,P200000000VUT1111111
TID,CAN,L100000000CAN1111111
DLL,AZE,L200000000AZE1111111
PBJ,HUN,S400000000HUN1111111
OWF,DJI,H400000000DJI1111111
OGF,ISR,N400000000ISR1111111
ANO,STP,B200000000STP1111111
KRL,GIN,H000000000GIN1111111
HWY,MNE,F000000000MNE1111111
OTM,PAN,P300000000PAN1111111
EAY,EGY,M000000000EGY1111111
UWH,TZA,J400000000TZA1111111
UOP,JPN,J300000000JPN1111111
BXT,BDI,M000000000BDI1111111
PKZ,BRB,A400000000BRB1111111
RME,URY,E000000000URY1111111
JEN,PAN,R100000000PAN1111111
VFN,GUY,E200000000GUY1111111
HMI,MNP,C400000000MNP1111111
FLF,VIR,D000000000VIR1111111
MZO,FRA,A000000000FRA1111111
DBY,RUS,J200000000RUS1111111
PZV,NPL,A400000000NPL1111111
GJU,GRL,C300000000GRL1111111
KHR,SUR,B300000000SUR1111111
PZM,GNQ,A300000000GNQ1111111
DTD,GNB,A300000000GNB1111111
AUI,CAN,S100000000CAN1111111
SSI,ATG,T100000000ATG1111111
VPE,SGS,O100000000SGS1111111
HJE,COK,K300000000COK1111111
RNX,BEN,D300000000BEN1111111
OSK,MOZ,R400000000MOZ1111111
IQO,MNP,O300000000MNP1111111
MTX,VUT,S100000000VUT1111111
KUW,KEN,R000000000KEN1111111
RKP,LBY,K000000000LBY1111111
MIK,MLI,Q100000000MLI1111111
JDU,CYP,I000000000CYP1111111
QBL,AFG,H300000000AFG1111111
UNX,ESP,A200000000ESP1111111
BVU,DJI,K200000000DJI1111111
DUG,AGO,T100000000AGO1111111
PJS,CAN,O300000000CAN1111111
GHA,MNE,Q100000000MNE1111111
BGP,SGP,G100000000SGP1111111
PFW,ERI,S400000000ERI1111111
ZPA,SVK,Q100000000SVK1111111
XBY,PAN,G000000000PAN1111111
RGD,TCD,O100000000TCD1111111
QRL,SDN,P300000000SDN1111111
CSE,IOT,K400000000IOT1111111
DPP,COK,R000000000COK1111111
ZZI,HND,S100000000HND1111111
RQT,CHE,P200000000CHE1111111
LNA,MWI,I300000000MWI1111111
IOZ,ATF,I400000000ATF1111111
GZJ,ESP,N100000000ESP1111111
OLX,VGB,B200000000VGB1111111
NDI,ITA,A000000000ITA1111111
ZIZ,AZE,Q000000000AZE1111111
WUV,VIR,K000000000VIR1111111
UVM,AGO,E100000000AGO1111111
FXA,DOM,M400000000DOM1111111
ZST,SYC,G100000000SYC1111111
MMW,COL,M100000000COL1111111
JQD,ATG,H000000000ATG1111111
XJO,PHL,H000000000PHL1111111
FJW,SHN,O300000000SHN1111111
XAF,UGA,E200000000UGA1111111
SKV,WLF,S200000000WLF1111111
EEX,MNG,Q400000000MNG1111111
WXE,LIE,A100000000LIE1111111
WQD,CYM,L300000000CYM1111111
XUF,IND,J200000000IND1111111
PUL,SVN,E000000000SVN1111111
PFA,COL,J400000000COL1111111
UMF,MAF,Q300000000MAF1111111
UXF,KWT,H200000000KWT1111111
JIQ,IDN,F400000000IDN1111111
HTH,BHS,O300000000BHS1111111
FDH,CIV,T100000000CIV1111111
UIA,MLT,Q000000000MLT1111111
VFX,CAN,H200000000CAN1111111
JXY,ISR,A000000000ISR1111111
XJY,DJI,Q200000000DJI1111111
SWY,BWA,G200000000BWA1111111
CWC,AGO,K400000000AGO1111111
NBM,BEN,P200000000BEN1111111
WLY,GUF,P400000000GUF1111111
ADG,PYF,M000000000PYF1111111
KYO,MLI,G300000000MLI1111111
FWB,GUM,Q000000000GUM1111111
ACH,MAC,L200000000MAC1111111
KDE,BDI,T200000000BDI1111111
CAD,SWZ,L200000000SWZ1111111
MNT,LBY,G000000000LBY1111111
UCC,PRY,H300000000PRY1111111
SLC,FJI,P400000000FJI1111111
WNM,SRB,N100000000SRB1111111
IYL,BFA,T200000000BFA1111111
FER,UGA,G400000000UGA1111111
NGN,CAN,C000000000CAN1111111
EJB,BDI,K200000000BDI1111111
WAF,JOR,T100000000JOR1111111
DEV,LBN,I100000000LBN1111111
TPP,BHS,K400000000BHS1111111
SRA,FSM,G200000000FSM1111111
LVN,MSR,N300000000MSR1111111
GWV,CAF,B200000000CAF1111111
CCL,TZA,R300000000TZA1111111
BJG,BTN,F000000000BTN1111111
KUR,PSE,C100000000PSE1111111
OBV,TJK,S100000000TJK1111111
UJS,URY,S200000000URY1111111
KWL,SLB,R100000000SLB1111111
AQV,SWZ,L400000000SWZ1111111
SRY,DOM,M100000000DOM1111111
RBW,GHA,N300000000GHA1111111
CEH,GBR,R100000000GBR1111111
AGB,BWA,S400000000BWA1111111
NJC,MUS,H000000000MUS1111111
ERX,CUB,P400000000CUB1111111
GAK,TON,R400000000TON1111111
MQK,SGS,A200000000SGS1111111
DWE,FLK,T400000000FLK1111111
OUE,MAF,J000000000MAF1111111
FKY,CUB,Q200000000CUB1111111
MNW,SWZ,T200000000SWZ1111111
HPX,ALA,L200000000ALA1111111
DVP,BMU,I200000000BMU1111111
RDO,PYF,I300000000PYF1111111
LDM,EST,N300000000EST1111111
ACJ,PAK,A400000000PAK1111111
JMV,KHM,C100000000KHM1111111
KGE,GHA,K200000000GHA1111111
MXR,IMN,A100000000IMN1111111
CWD,SDN,D300000000SDN1111111
FUM,IRQ,H300000000IRQ1111111
LKW,TUR,R300000000TUR1111111
BHC,GNB,S400000000GNB1111111
XOU,SRB,H200000000SRB1111111
FXT,NER,I300000000NER1111111
WHW,MDV,S100000000MDV1111111
HEG,VIR,I000000000VIR1111111
EXY,REU,N000000000REU1111111
CRU,KIR,A100000000KIR1111111
PHB,VEN,G400000000VEN1111111
JID,FRA,J100000000FRA1111111
VGL,OMN,N400000000OMN1111111
ODK,MDV,O400000000MDV1111111
EIS,BMU,K100000000BMU1111111
FZO,NAM,Q100000000NAM1111111
JHF,MDA,T200000000MDA1111111
GSQ,MEX,B000000000MEX1111111
QBI,PAK,S400000000PAK1111111
FNI,KHM,M000000000KHM1111111
OIB,UZB,S200000000UZB1111111
QOR,MAR,A100000000MAR1111111
UKX,MLI,F300000000MLI1111111
QUF,DMA,S200000000DMA1111111
IQO,TKL,D100000000TKL1111111
AVG,COK,S000000000COK1111111
HBS,DZA,N400000000DZA1111111
UOQ,UZB,H200000000UZB1111111
MEO,SWZ,G400000000SWZ1111111
KMB,MKD,B000000000MKD1111111
QXN,CXR,C000000000CXR1111111
IBL,MUS,I100000000MUS1111111
FFF,MDV,A300000000MDV1111111
HAY,EST,E100000000EST1111111
LOF,TUN,I400000000TUN1111111
OQJ,POL,P200000000POL1111111
MEQ,CHN,N200000000CHN1111111
YFD,SVK,R000000000SVK1111111
VSO,ALA,T100000000ALA1111111
PPP,GAB,A300000000GAB1111111
NGN,MKD,S000000000MKD1111111
UKO,SEN,O000000000SEN1111111
NNX,PHL,N100000000PHL1111111
AEM,BHS,N300000000BHS1111111
AVG,BLM,I400000000BLM1111111
HPW,STP,R400000000STP1111111
GVF,MNP,L100000000MNP1111111
OKT,BRB,K100000000BRB1111111
XCV,DEU,L400000000DEU1111111
VTX,BLR,N100000000BLR1111111
QSX,NIU,Q100000000NIU1111111
QBW,LBN,F200000000LBN1111111
RZM,LCA,S000000000LCA1111111
YVH,NPL,D100000000NPL1111111
AKB,IDN,M400000000IDN1111111
EVD,MNG,F200000000MNG1111111
YWO,MAC,S100000000MAC1111111
KZL,CIV,I000000000CIV1111111
MLU,DNK,P200000000DNK1111111
ZUM,BIH,R400000000BIH1111111
WSU,NCL,B200000000NCL1111111
NJD,CAF,K100000000CAF1111111
PCY,MSR,C000000000MSR1111111
ZXL,IND,T100000000IND1111111
SWF,LTU,M300000000LTU1111111
FGD,COK,N000000000COK1111111
OUR,GNQ,Q000000000GNQ1111111
JGT,LBY,L100000000LBY1111111
EJZ,AUT,A300000000AUT1111111
CZA,ARM,D200000000ARM1111111
OMA,TON,J000000000TON1111111
XSC,GLP,J200000000GLP1111111
TDI,VNM,L100000000VNM1111111
XZX,TUN,Q400000000TUN1111111
FTH,MLI,M100000000MLI1111111
RDI,SGS,J100000000SGS1111111
BTQ,KHM,L000000000KHM1111111
NSM,DNK,H400000000DNK1111111
NQV,MWI,D000000000MWI1111111
DRT,CAF,H100000000CAF1111111
RKU,BGR,K200000000BGR1111111
QSR,BGD,I100000000BGD1111111
WUM,PSE,D100000000PSE1111111
WEP,CCK,A400000000CCK1111111
UXP,NIU,N100000000NIU1111111
SFK,COL,O200000000COL1111111
VYF,NPL,S300000000NPL1111111
AXC,DNK,O300000000DNK1111111
YTR,VUT,M100000000VUT1111111
QKP,ITA,S200000000ITA1111111
SKN,DOM,I200000000DOM1111111
PTV,NGA,Q100000000NGA1111111
OKU,BHS,J400000000BHS1111111
BXR,SMR,C000000000SMR1111111
MJV,ISR,S200000000ISR1111111
HDA,KWT,Q100000000KWT1111111
AVP,TUN,S300000000TUN1111111
BFB,BRA,R200000000BRA1111111
RVJ,MSR,O400000000MSR1111111
THR,HUN,N200000000HUN1111111
LKV,BLZ,T200000000BLZ1111111
IRJ,BES,M100000000BES1111111
XKE,KWT,O200000000KWT1111111
WFQ,GRL,S300000000GRL1111111
OLS,LBR,G200000000LBR1111111
BPN,POL,I400000000POL1111111
QOJ,VAT,E100000000VAT1111111
SOU,SYR,E400000000SYR1111111
JVD,MAR,B400000000MAR1111111
ZBM,FRA,M400000000FRA1111111
XSL,SEN,P300000000SEN1111111
QJN,PER,H300000000PER1111111
JIW,LKA,R000000000LKA1111111
EZS,KGZ,F400000000KGZ1111111
XDY,SGS,T200000000SGS1111111
ESZ,MAF,E100000000MAF1111111
OJW,LCA,N400000000LCA1111111
GJO,CUW,N400000000CUW1111111
RGX,CRI,B300000000CRI1111111
RLB,UGA,M300000000UGA1111111
QZZ,COG,C100000000COG1111111
OIS,SYR,L300000000SYR1111111
XDQ,PRK,M000000000PRK1111111
KXR,NRU,M300000000NRU1111111
URZ,NFK,M200000000NFK1111111
KSD,VEN,S000000000VEN1111111
PXU,AUS,S200000000AUS1111111
UYO,PER,B300000000PER1111111
CLG,NOR,T000000000NOR1111111
LMK,LBR,F300000000LBR1111111
QWT,THA,T400000000THA1111111
ZPR,MNG,R000000000MNG1111111
NLE,CHL,A000000000CHL1111111
TLT,LCA,L300000000LCA1111111
DAA,SOM,B400000000SOM1111111
AQZ,MNG,S000000000MNG1111111
KCQ,UMI,Q200000000UMI1111111
IPB,MAF,O200000000MAF1111111
MKZ,LUX,P400000000LUX1111111
RWA,CPV,N200000000CPV1111111
KHG,GLP,D400000000GLP1111111
XLB,UKR,T400000000UKR1111111
URD,THA,D100000000THA1111111
SFD,SEN,O200000000SEN1111111
CDB,ZWE,E400000000ZWE1111111
QSN,LIE,A400000000LIE1111111
KTS,PAN,K400000000PAN1111111
RAC,TTO,E100000000TTO1111111
PEP,ETH,C100000000ETH1111111
PIL,ATG,R200000000ATG1111111
HEX,OMN,R100000000OMN1111111
FYG,ABW,H300000000ABW1111111
